X,Y,category,data1,data2
1,1,a,0.2674330482715843,0.5501481631111826
2,1,a,0.5992407552660244,0.09300753748828394
3,1,a,0.19219227965820063,0.48952511607945026
4,1,a,0.6072910004472037,0.7938317326707394
5,1,a,0.9219584479428687,0.0019198597596568057
6,1,a,0.449490631413745,0.8612776980335002
7,1,a,0.5811306546643178,0.20758428874582302
8,1,a,0.1948490023468078,0.023646798570656102
9,1,a,0.20144095329862288,0.11925244363082943
10,1,a,0.39444787859156594,0.6455553050283158
1,2,a,0.8286044504480337,0.50867932921777
2,2,a,0.5189377712092147,0.9404073276218806
3,2,a,0.3363756904858566,0.9089012720434667
4,2,a,0.9636573742614835,0.6062459435544522
5,2,a,0.12882742532528835,0.1886249229340241
6,2,a,0.17602389673406882,0.5718008135407302
7,2,a,0.36494535712000076,0.0427491113475732
8,2,a,0.9755110810532807,0.4419500658952439
9,2,a,0.1631033965183466,0.561738034965854
10,2,a,0.7559394079417728,0.6479653054656115
1,3,a,0.3594211448017106,0.9898609550657512
2,3,a,0.341133192574263,0.5330845339282926
3,3,a,0.6364757571371763,0.8433396088774373
4,3,a,0.35396813868180277,0.9046975664879991
5,3,a,0.46434847351575936,0.3499114709062867
6,3,a,0.9402499305949975,0.5662172377067562
7,3,a,0.45070341980240314,0.7521232493711166
8,3,a,0.6128278671877869,0.3514994915556868
9,3,a,0.14205461859929158,0.40656407617992674
10,3,a,0.5462404502655233,0.8408798914529542
1,4,a,0.5162098529693471,0.7411231728536062
2,4,a,0.001105883233356364,0.589034844022361
3,4,a,0.3211776368855934,0.23947030156529026
4,4,a,0.5058497208700221,0.12348731692370529
5,4,a,0.10870797769423768,0.7909809425092962
6,4,a,0.02078346438725831,0.07780984665231039
7,4,a,0.7201674867849552,0.8059399548110671
8,4,a,0.004529689326980724,0.715827061941077
9,4,a,0.43867582364135826,0.41321361328047757
10,4,a,0.055587043059045604,0.8065315304398962
1,5,a,0.8564479512780622,0.5006605923894791
2,5,a,0.771046056905304,0.46494040311841744
3,5,a,0.5985816780344443,0.6451200024681842
4,5,a,0.9674114390567828,0.21802779321595456
5,5,a,0.509806813308715,0.9230082181977801
6,5,a,0.34063687055964964,0.02401517349043758
7,5,a,0.5371840967477084,0.39110374243053847
8,5,a,0.5394036212429214,0.10525936386349
9,5,a,0.3635300364609634,0.6217052669218273
10,5,a,0.09562353907564791,0.41390426133748304
1,6,a,0.13426815139968384,0.7731854417459548
2,6,a,0.7144519958322945,0.16442791114522737
3,6,a,0.37471837114355133,0.00837545077920998
4,6,a,0.9982374488180045,0.5337836521934969
5,6,a,0.2543661562975895,0.41072903092679136
6,6,a,0.986808917736756,0.5109657490350729
7,6,a,0.11930157330615743,0.11230354820889366
8,6,a,0.0781542799460303,0.7111736224282081
9,6,a,0.5908376765563735,0.3392714085516394
10,6,a,0.023820975037570302,0.17405161602325703
1,7,a,0.6819739329608371,0.08441616264145979
2,7,a,0.5856660755382848,0.9770912682255242
3,7,a,0.16754189178235102,0.29822946802243544
4,7,a,0.8617083745733397,0.2737396044936101
5,7,a,0.821515262175522,0.323970320584662
6,7,a,0.10137707002992957,0.9764762672670917
7,7,a,0.5014619725629627,0.6743581275846171
8,7,a,0.939389479604331,0.8843001262038713
